-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Filtros aplicados
[Cliente.: 00001 - 00001]    [Contrato.: 000001 - 000001]  [Loja.: 00000 - 99999]        [Rede.: 0000 - 9999]          [Serviço.: 00000 - 99999]
[Dia Faturamento.: 01 - 31]  [Competência: 10/2020]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Cliente: 00001   CNPJ: 77.752.293/0001-98 - COOPERATIVA AGROINDUSTRIAL LAR                     - LAR
"OUTROS MEDIANEIRA, 1220, SALA 05, CEP 85884-000 - MEDIANEIRA - PR  Obs.:"
"00006-DIARIAS              0124 00610 SP SAO PAULO                 CENTRO                   AV. MARECHAL TITO,1300               00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0125 00611 SP SAO PAULO                 JARDIM PLANALTO          AV. SAPOPEMBA,9250                   00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0126 00612 SP SUZANO                    VILA AMORIM              RUA PRUDENTE DE MORAES,1751          00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0127 00613 SP SAO PAULO                 VILA MOREIRA             AV. CONDESSA ELISABETH DE ROBIANO,21 00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0128 00616 SP SAO PAULO                 BUTANTA                  AV. PROFESSOR FRANCISCO MORATO,4367  00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0129 00617 SP SAO PAULO                 PARQUE EDU CHAVES        RODOVIA FERNAO DIAS,189              00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0130 00619 SP TABOAO DA SERRA           JARDIM MIRNA             AV FELICIO BARUTI,3040               00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0131 00623 SP SAO PAULO                 VILA JACUI               AV. JACU-PESSEGO,750                 00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0132 00626 SP SAO PAULO                 JARDIM CASA GRANDE       AV. SENADOR TEOTONIO VILELA,8765     00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0133 00627 SP TABOAO DA SERRA           PARQUE INDUSTRIAL DACI   AV. IBIRAMA,51                       00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0134 00628 SP PRAIA GRANDE              MIRIM                    AV. PRESIDENTE KENNEDY,100           00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0135 00629 SP PRAIA GRANDE              SITIO DO CAMPO           AV. AYRTON SENNA DA SILVA,1511       00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0136 00630 SP SANTOS                    SABOO                    AV. NOSSA SENHORA DE FATIMA,50       00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0137 00631 SP JUNDIAI                   CENTRO                   RUA QUINZE DE NOVEMBRO,430           00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0138 00638 SP CARAGUATATUBA             CENTRO                   AV. PRISCILIANA DE CASTILHO,840      00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0139 00639 SP BAURU                     CENTRO                   AV. NACOES UNIDAS,S/N                00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0140 00641 SP CAMPINAS                  JARDIM NOVO CAMPOS ELISE AV. RUY RODRIGUEZ,1400               00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0141 00645 SP LIMEIRA                   CENTRO                   LARGO JOSE BONIFACIO,149             00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0142 00646 SP PRESIDENTE PRUDENTE       VILA NOVA PRUDENTE       AV. JOAQUIM CONSTANTINO,3025         00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0143 00648 SP RIBEIRAO PRETO            PARQUE INDUSTRIAL LAGOIN AV. PRESIDENTE CASTELO BRANCO,2395   00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0144 00650 SP RIBEIRAO PRETO            JARDIM PAULISTA          AV. TREZE DE MAIO,92                 00000006100626       551,32          0,00  01/10/2020 31/10/2020"
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0005
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Tarefas                    Seq   Loja UF Cidade                    Bairro                   Endereço                             CNPJ/Matrícula  Valor mensal    Valor 13o. Dat.Inicio   Data fim
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"00006-DIARIAS              0145 00651 SP RIO CLARO                 CIDADE CLARET            AV. PRESIDENTE TANCREDO DE ALMEIDA,4 00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0146 00652 SP SOROCABA                  PARQUE RESERVA FAZENDA I RODOVIA RAPOSO TAVARES,S/N           00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0147 00653 SP SOROCABA                  JARDIM MARIA ANTONIA PRA AV. ITAVUVU,1766                     00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0148 00655 SP SAO JOSE DOS CAMPOS       PALMEIRAS DE SAO JOSE    AV. DOUTOR SEBASTIAO HENRIQUE DA C,4 00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0149 00656 SP PRAIA GRANDE              GLORIA                   AV. MINISTRO MARCOS FREIRE,S/N       00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0150 00657 SP SAO VICENTE               VILA CASCATINHA          AV. ANTONIO EMMERICK,245             00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0151 01579 SP RIBEIRAO PIRES            SANTANA                  AV. FRANCISCO MONTEIRO,1941          00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0152 01580 SP SAO PAULO                 VILA CARRAO              RUA MANILHA,42                       00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0153 01581 SP SAO PAULO                 STO AMARO                AV. DAS NACOES UNIDAS,21883          00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0154 01871 SP CARAPICUIBA               VILA MUNICIPAL           AV. DESEMBARGADOR DOUTOR EDUARDO C,1 00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0155 02144 SP SAO PAULO                 SANTO ANDRÉ              RUA CAPITÃO MARIO  TOLEDO,5855       00000006100626     1.174,12          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0156 02524 SP SAO PAULO                 CIDADE DUTRA             AV. SENADOR TEOTONIO VILELA,2926     00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0157 02525 SP DIADEMA                   VILA NOGUEIRA            AV PIRAPORINHA,1114                  00000006100626     1.174,12          0,00  01/10/2020 31/10/2020"
"00014-6 X ATÉ  01 HORA DI  0158 02634 SP SAO PAULO                 VILA NORMA               AV. SAO MIGUEL,6818                  00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00014-6 X ATÉ  01 HORA DI  0159 02701 SP SAO PAULO                 VILA MASCOTE             AV. SANTA CATARINA,1672              00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00014-6 X ATÉ  01 HORA DI  0160 02762 SP SAO PAULO                 PARQUE SAO LOURENCO      AV. RAGUEB CHOHFI,58                 00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00014-6 X ATÉ  01 HORA DI  0161 02763 SP PAULINIA                  JARDIM CALIFORNIA        RUA JOSE PAULINO,2600                00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00014-6 X ATÉ  01 HORA DI  0162 02841 SP EMBU DAS ARTES            TINGIDOR                 AV. ELIAS YAZBEK,1183                00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0163 02859 SP PIRACICABA                CENTRO                   RUA REGENTE FEIJO,823                00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0164 02901 SP MOGI DAS CRUZES           VILA BERNADOTTI          AV. HENRIQUE PERES,1330              00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0165 02958 SP CAMPINAS                  CENTRO                   AV SENADOR SARAIVA                   00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0166 03988 SP SAO PAULO                 JARDIM LIDER             AV. RAIMUNDO PEREIRA DE MAGALHAES,10 00000006100626     1.174,12          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0167 04152 SP MAUA                      JARDIM ROSINA            AV. ANTONIA ROSA FIORAVANTI,3270     00000006100626     1.174,12          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0168 05196 SP SANTO ANDRE               VILA METALURGICA         AV. DOS ESTADOS,1155                 00000006100626     1.174,12          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0169 05268 SP GUARULHOS                 JARDIM SANTA VICENCIA    RUA JAMIL JOAO ZARIF,689             00000006100626     1.174,12          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0170 05269 SP JANDIRA                   JARDIM SILVEIRA          AV. ALZIRO SOARES,20                 00000006100626     1.174,12          0,00  01/10/2020 31/10/2020"
"00089-DIARIAS - ATÉ 2H     0171 10391 SP SAO PAULO                 JARDIM SANTA TEREZINHA   AV. ARICANDUVA,555                   00000006100626     1.174,12          0,00  01/10/2020 31/10/2020"
"00005-5 VISITAS SEMANAIS   0172 11321 SP INDAIATUBA                PARQUE DAS NACOES        AV. FRANCISCO DE PAULA LEITE,2242    00000006100626       712,07          0,00  01/10/2020 31/10/2020"
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"Total Vencimentos:       Rede No 0011 - ASSAI                                   93.551,76          0,00             93.551,76"
""
"Total da rede(0011)....: ASSAI                                                  93.551,76          0,00             93.551,76"
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
Rede No 0012 - FORT ATACADISTA
"00020-6X VISITAS C/ 2:30H  0173 00439 SC FLORIANOPOLIS             JARDIM ATLANTICO         RUA ELESBAO PINTO DA LUZ,1183        00000006790288     1.462,06          0,00  01/10/2020 31/10/2020"
"00074-DIARIAS DE ATÉ 10H   0174 00440 SC JOINVILLE                 BUCAREIN                 RUA CORONEL FRANCISCO GOMES,788      00000006635149     5.285,90          0,00  01/10/2020 31/10/2020"
"00020-6X VISITAS C/ 2:30H  0175 00441 SC ITAJAI                    CENTRO                   RUA TIJUCAS,237 TIJUCAS              00000006635136     1.462,06          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0176 00442 SC SAO JOSE                  BARREIROS                OUTROS BR 101,385                    00000006635165     2.474,25          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0177 00443 SC BLUMENAU                  ITOUPAVA NORTE           VIA EXPRESSA PAUL FRITZ KUEHNRICH,14 00000006765239     2.474,25          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0178 00444 SC JARAGUA DO SUL            VILA BAEPENDI            RUA MAX WILHELM,594                  00000006794828     2.474,25          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0179 00445 SC JOINVILLE                 COSTA E SILVA            RUA ALMIRANTE JACEGUAY,2951          00000006868149     2.474,25          0,00  01/10/2020 31/10/2020"
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0006
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Tarefas                    Seq   Loja UF Cidade                    Bairro                   Endereço                             CNPJ/Matrícula  Valor mensal    Valor 13o. Dat.Inicio   Data fim
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"00074-DIARIAS DE ATÉ 10H   0180 00447 SC BALNEARIO CAMBORIU        CENTRO                   AV. MARGINAL LESTE,133               00000006887735     5.285,90          0,00  01/10/2020 31/10/2020"
"00074-DIARIAS DE ATÉ 10H   0181 00448 SC PALHOCA                   PASSA VINTE              OUTROS RODOVIA BR-101,101            00000006912422     5.285,90          0,00  01/10/2020 31/10/2020"
"00020-6X VISITAS C/ 2:30H  0182 00449 SC ITAJAI                    SAO JOAO                 RUA INDAIAL,1730                     00000006898203     1.462,06          0,00  01/10/2020 31/10/2020"
"00047-DIARIAS DE 4 HORAS   0183 00450 SC BRUSQUE                   CENTRO                   AV. BEPE ROSA,3700                   00000006944241     2.474,25          0,00  01/10/2020 31/10/2020"
"00074-DIARIAS DE ATÉ 10H   0184 01624 SC SAO JOSE                  KOBRASOL                 RUA CASSOL/JOMILDA CAMARGO DA CUNH,1 00000006946794     5.285,90          0,00  01/10/2020 31/10/2020"
"00020-6X VISITAS C/ 2:30H  0185 01625 SC SAO JOSE                  BARREIROS                RUA SEBASTIAO FURTADO PEREIRA,S/N    00000006644871     1.462,06          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0186 01626 SC PALHOCA                   CENTRO                   RUA AMARO FERREIRA DE MACEDO,160     00000006701028     2.474,25          0,00  01/10/2020 31/10/2020"
"00074-DIARIAS DE ATÉ 10H   0187 01629 SC FLORIANOPOLIS             SANTO ANTONIO DE LISBOA  OUTROS RODOVIA JOSE CARLOS DAUX,9580 00000006868136     5.285,90          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0188 02529 SC ICARA                     PRESIDENTE VARGAS        OUTROS SC-445,950                    00000006106639     2.474,25          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0189 02844 SC PORTO BELO                ALTO DO PEREQUE          AV. GOV CELSO RAMOS                  00000006106640     2.474,25          0,00  01/10/2020 31/10/2020"
"00090-DIARIAS - ATÉ 10H    0190 04391 SC CHAPECO                   SAO CRISTOVAO            RUA SAO PEDRO,1968                   00000006111966     5.285,90          0,00  01/10/2020 31/10/2020"
"00074-DIARIAS DE ATÉ 10H   0191 05009 SC FLORIANOPOLIS             CAMPECHE                 RODOVIA FRANCISCO MAGNO VIEIRA,S/N   00000006112836     5.285,90          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0192 05274 SC JOINVILLE                 AVENTUREIRO              RUA TUIUTI,4157                      00000006113659     2.474,25          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0193 05275 SC TUBARAO                   DEHON                    RUA DEPUTADO OLICES PEDRO DE CALDA,S 00000006113656     2.474,25          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0194 05276 SC CRICIUMA                  PINHEIRINHO              AV. CENTENARIO,1151                  00000006113657     2.474,25          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0195 10477 SC BARRA VELHA               BARRA VELHA              RODOVIA BR 101,,S/N KM 86,1          00000006115674     2.474,25          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0196 10527 SC BIGUAÇU                   CENTRO                   RUA SETE DE SETEMBRO,S/N             00000006115673     2.474,25          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0197 11058 SC ITAJAI                    CORDEIROS                RUA DOUTOR REINALDO SCHMITHAUSEN,124 00000006115675     2.474,25          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0198 11412 SC LAGES                     COPACABANA               AV. BELISARIO RAMOS,1628             00000006117503     2.474,25          0,00  01/10/2020 31/10/2020"
"00107-5 VISITAS DE 4 HORA  0199 12272 SC SAO BENTO DO SUL          CENTRO                   RUA JORGE ZIPPERER,139               00000006120032     2.474,25          0,00  01/10/2020 31/10/2020"
"00191-DIARIAS - 8H         0200 12636 SC FLORIANOPOLIS             VARGEM GRANDE            RODOVIA ARMANDO CALIL BULOS,170                         3.660,80          0,00  09/10/2020 31/10/2020"
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"Total Vencimentos:       Rede No 0012 - FORT ATACADISTA                         86.098,34          0,00             86.098,34"
""
"Total da rede(0012)....: FORT ATACADISTA                                        86.098,34          0,00             86.098,34"
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
Rede No 0017 - ATACADÃO
"00011-6 VISITAS  ATÉ 2 HO  0201 00907 AC RIO BRANCO                DISTRITO INDUSTRIAL      ROD BR 364 KM 5                      00000006815891     1.053,55          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0202 00841 AL MACEIO                    TABULEIRO DO MARTINS     AV. DOUTOR DURVAL DE GOES MONTEIRO,5 00000006825593     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0203 00842 AL ARAPIRACA                 ITAPOA                   RODOVIA AL-220,359                   00000006825603     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0204 04050 AL MACEIO                    CRUZ DAS ALMAS           AV. JOSEPHA HOLLANDA DE MELLO,S/N    00000006111488     1.003,37          0,00  01/10/2020 31/10/2020"
"00007-6x ATÉ 3:30 HORA     0205 00897 AM MANAUS                    ZUMBI DOS PALMARES       AV. AUTAZ MIRIM,3330                 00000006883603     1.053,55          0,00  01/10/2020 31/10/2020"
"00007-6x ATÉ 3:30 HORA     0206 00898 AM MANAUS                    CIDADE NOVA              AV. MAX TEIXEIRA,3856                00000006883616     1.053,55          0,00  01/10/2020 31/10/2020"
"00007-6x ATÉ 3:30 HORA     0207 00899 AM MANAUS                    EDUCANDOS                AV. LEOPOLDO PERES,646               00000006102794     1.053,55          0,00  01/10/2020 31/10/2020"
"00007-6x ATÉ 3:30 HORA     0208 00908 AP MACAPA                    JARDIM MARCO ZERO        RODOVIA JUSCELINO KUBITSCHEK,12858   00000006902830     1.053,55          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0209 00828 BA SALVADOR                  PAU MIUDO                AV. BARROS REIS,1579                 00000006259486     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0210 00830 BA SALVADOR                  CAJAZEIRAS               RUA COQUEIRO GRANDE  FAZ GRANDE II,6 00000006604468     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0211 00831 BA JUAZEIRO                                           OUTROS RODOVIA BR-407,S/N            00000006698102     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0212 00832 BA FEIRA DE SANTANA          MORADA DAS ARVORES       AV. EDUARDO FROES DA MOTA,5500       00000006698856     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0213 00833 BA LAURO DE FREITAS          CENTRO                   AV SANTOS DUMONT KM6,5,S/N           00000006733711     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0214 00834 BA FEIRA DE SANTANA          SUBAE                    AV. DEPUTADO LUIS EDUARDO MAGALHAE   00000006102118     1.003,37          0,00  01/10/2020 31/10/2020"
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0007
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Tarefas                    Seq   Loja UF Cidade                    Bairro                   Endereço                             CNPJ/Matrícula  Valor mensal    Valor 13o. Dat.Inicio   Data fim
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"00006-DIARIAS              0215 00835 BA VITORIA DA CONQUISTA      CENTRO                   OUTROS RODOVIA BR-116,S/N            00000006707831     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0216 00836 BA EUNAPOLIS                 SANTA ISABEL             AV. ANTONIO CARLOS MAGALHÃES,S/N     00000006733740     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0217 00837 BA BARREIRAS                 VILA BRASIL              AV. CLERISTON ANDRADE,3707           00000006814737     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0218 00838 BA ILHEUS                    SALOBRINHO               ROD BR 415,SN KM 24                  00000006814740     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0219 00839 BA CAMACARI                  POLO PETROQUIMICO        RODOVIA BA-535,535                   00000006902513     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0220 00840 BA SANTO ANTONIO DE JESUS    SAO BENEDITO             RUA JUERANA                          00000006946361       899,73          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0221 03030 BA TEIXEIRA DE FREITAS       VILA VERDE               AV. SÃO PAULO                        00000006108140     1.102,17          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0222 05008 BA SIMOES FILHO                                       AV ENG WALTER ARAGAO DE SOUZA,473    00000006112825     1.003,37          0,00  01/10/2020 31/10/2020"
"00097-6 VISITAS DE 3 HORA  0223 10107 BA ALAGOINHAS                CENTRO                   RODOVIA 110,300 SEDE ALAGOINHAS      00000006114135     1.693,20          0,00  01/10/2020 31/10/2020"
"00143-6 VISITAS - 2H       0224 10396 BA IRECE                     RODOVIA                  RODOVIA BA 052 KM 353,S/N            00000006114134     1.102,17          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0225 11413 BA SALVADOR                  BROTAS                   AV. MARIO LEAL FERREIRA  S AC NORT,5 00000006118007       674,80          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0226 00845 CE SOBRAL                    CIDADE GERARDO CRISTINO  AV. SENADOR FERNANDES TAVORA,605     00000006917375     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0227 00846 CE CAUCAIA                   ITAMBE                   RODOVIA ESTRUTURANTE,S/N             00000006884204     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0228 00847 CE JUAZEIRO DO NORTE         SAO JOSE                 AV. PADRE CICERO,4385                00000006711814     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0229 00848 CE FORTALEZA                 SERRINHA                 AV. SENADOR CARLOS JEREISSATI,3001   00000006884246     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0230 00849 CE EUSEBIO                   EUSEBIO                  AV. BARÃO DE AQUIRAZ,040             00000006884259     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0231 02874 CE FORTALEZA                 PARANGABA                AV. GENERAL OSORIO DE PAIVA,S/N      00000006107861     1.003,37          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0232 00825 ES VILA VELHA                NOSSA SENHORA DA PENHA   RODOVIA DARLY SANTOS,4393            00000006712211     2.445,73          0,00  01/10/2020 31/10/2020"
"00010-6X VISITAS C/3:00H   0233 00827 ES SERRA                     CIVIT II                 RUA DOIS,S/N                         00000006879497     1.693,20          0,00  01/10/2020 31/10/2020"
"00007-6x ATÉ 3:30 HORA     0234 00843 MA IMPERATRIZ                JARDIM MORADA DO SOL     RODOVIA BR-010,1345                  00000006826327     1.053,55          0,00  01/10/2020 31/10/2020"
"00007-6x ATÉ 3:30 HORA     0235 00844 MA SAO LUIS                  BEQUIMAO                 AV. JERONIMO DE ALBUQUERQUE MARANH,1 00000006826314     1.053,55          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0236 00887 MT CUIABA                    JARDIM FLORIANOPOLIS     RODOVIA EMANUEL PINHEIRO,155         00000006781381     4.457,50          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0237 00888 MT CUIABA                    CENTRO SUL               AV. QUINZE DE NOVEMBRO,981           00000006054018     4.457,50          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0238 00890 MT SINOP                     JARDIM PLANALTO          RUA JOAO PEDRO MOREIRA DE CARVALHO,4 00000006940795     4.457,50          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0239 00891 MT VARZEA GRANDE             JARDIM GLORIA L          AV. GOVERNADOR JULIO CAMPOS,5458     00000006690540     4.457,50          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0240 00892 MT CUIABA                    TIJUCAL                  AV. FERNANDO CORREA DA COSTA,7975    00000006586670     4.457,50          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0241 01586 MT LUCAS DO RIO VERDE        PARQUE DAS EMAS          AV. UNIVERSITARIA,250 W              00000006104982     4.457,50          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0242 02703 MT RONDONOPOLIS              CENTRO                   AV. BANDEIRANTES,2432                00000006586683     4.457,50          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0243 03445 MT BARRA DO GARCAS           SETOR INDUSTRIAL         AV. SENADOR VALDON VARJÃO,5679 BR070 00000006114849     4.457,50          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0244 10169 MT TANGARA DA SERRA          VILA HORIZONTE           AV DOMINGOS PARENTE DE SÁ BARRETO,30 00000006114850     4.457,50          0,00  01/10/2020 31/10/2020"
"00007-6x ATÉ 3:30 HORA     0245 00902 PA ANANINDEUA                CENTRO                   OUTROS RODOVIA BR-316,667            00000006908782     1.053,55          0,00  01/10/2020 31/10/2020"
"00007-6x ATÉ 3:30 HORA     0246 00903 PA BELEM                     CASTANHEIRA              OUTROS RODOVIA AUGUSTO MONTENEGRO,22 00000006883894     1.053,55          0,00  01/10/2020 31/10/2020"
"00007-6x ATÉ 3:30 HORA     0247 00904 PA SANTAREM                  SANTARENZINHO            AV. ENGENHEIRO FERNANDO GUILHON      00000006100143     1.053,55          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0248 02156 PA MARABA                    NOVA MARABA              RODOVIA BR-230  TRANSAMAZONICA,45    00000006105664     1.053,55          0,00  01/10/2020 31/10/2020"
"00097-6 VISITAS DE 3 HORA  0249 10168 PA CASTANHAL                 CRISTO REDENTOR          ROD BR 316/KM 60,S/N                 00000006114420     1.693,20          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0250 00850 PB JOAO PESSOA               ERNESTO GEISEL           RUA DOUTOR MANOEL LOPES DE CARVALH,S 00000006728988     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0251 00851 PB CAMPINA GRANDE            JARDIM TAVARES           AV. MANOEL TAVARES,1800              00000006728991     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0252 00852 PB SANTA RITA                VARZEA NOVA              AV. HENRIQUE VIEIRA,S/N              00000006884220     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0253 02279 PB PATOS                     SETE CASAS               OUTROS RODOVIA BR-230,2000           00000006106231     1.000,95          0,00  01/10/2020 31/10/2020"
